Chaetodon,max_length_fishbase
adiergastos,20
andamanensis,15
argentatus,20
auriga,23
auripes,20
baronessa,16
bennetti,20
citrinellus,13
collare,18
decussatus,20
ephippium,30
falcula,20
guttatissimus,12
interruptus,20
kleinii,15
lineolatus,30
lunula,20
lunulatus,14
melannotus,18
meyeri,20
ocellicaudus,15
octofasciatus,12
ornatissimus,20
oxycephalus,25
plebeius,15
punctatofasciatus,12
rafflesii,18
reticulatus,18
selene,16
semeion,26
speculum,18
triangulum,16
trifascialis,18
trifasciatus,15
ulietensis,15
unimaculatus,20
vagabundus,23
xanthurus,14
